H,R,G,B,W
0.0,255,0,0,0
0.0277777777778,255,4,0,0
0.0555555555556,255,16,0,0

0.0833333333333,255,64,0,0
0.111111111111,255,128,0,0

0.138888888889,255,192,0,0
0.166666666667,255,255,0,0

0.194444444444,192,255,0,0

0.222222222222,128,255,0,0
0.25,64,255,0,0

0.277777777778,16,255,0	,0
0.305555555556,4,255,0,0

0.333333333333,0,255,0,0

0.361111111111,0,255,4,0

0.388888888889,0,255,16,0

0.416666666667,0,255,64,0
0.444444444444,0,255,128,0
0.472222222222,0,255,192,0
0.5,0,255,255,0
0.527777777778,0,192,255,0

0.555555555556,0,128,255,0

0.583333333333,0,64,255,0
0.611111111111,0,16,255,0

0.638888888889,0,4,255,0
0.666666666667,0,0,255,0
0.694444444444,4,0,255,0
0.722222222222,16,0,255,0
0.75,64,0,255,0

0.777777777778,128,0,255,0

0.805555555556,192,0,255,0

0.833333333333,255,0,255,0
0.861111111111,255,0,192,0
0.888888888889,255,0,128,0

0.916666666667,255,0,64,0

0.944444444444,255,0,16,0
0.972222222222,255,0,4,0
